site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
0,-46.676996,-23.601922,1,2046.4166666666656,15143.483333333334,7.400000000000005,230.40862876321492,4209.171193121619
1,-46.676065,-23.601637,1,1818.3333333333326,13455.666666666668,7.400000000000003,230.408362001545,4209.162045112784
2,-46.6865861514,-23.6255339721,1,1589.6249999999993,34971.75,22.000000000000007,230.4307447559416,4209.929596539074
3,-46.6903472431,-23.5981308405,1,2272.333333333332,49991.33333333333,22.000000000000007,230.40508056927203,4209.049515188861
4,-46.62031653023333,-23.554414115700002,1,0.0,0.0,0.0,230.36422090056797,4207.648258585001
5,-46.6612740814,-23.5703078884,1,1492.3333333333328,32831.33333333333,22.000000000000007,230.3790641739817,4208.15731191964
6,-46.7311416743,-23.5410468212,1,1436.791666666666,31609.416666666664,22.00000000000001,230.35174753038785,4207.220470467936
7,-46.7249511219,-23.5841361852,1,1707.2499999999993,37559.5,22.000000000000007,230.3919894369062,4208.60057492978
8,-46.722238937499995,-23.5506453687,1,2959.999999999999,65119.99999999999,22.000000000000007,230.36070322240957,4207.527616927621
9,-46.599,-23.57241,1,0.0,0.0,0.0,230.38102835383364,4208.224672819097
10,-46.6,-23.5735,1,729.9999999999995,5402.000000000002,7.400000000000005,230.3820469259851,4208.259604320179
11,-46.67683643,-23.58528567,1,1513.2539087774387,11198.078924953054,7.400000000000005,230.3930643144708,4208.637436624951
12,-46.601,-23.57241,1,729.9999999999995,5402.000000000002,7.400000000000005,230.38102835466057,4208.224672850733
13,-46.6005,-23.57241,1,729.9999999999995,16059.999999999996,22.000000000000004,230.38102835363676,4208.224672811572
14,-46.6,-23.57241,1,729.9999999999995,5402.000000000002,7.400000000000005,230.3810283547313,4208.224672853989
15,-46.601,-23.5735,1,729.9999999999995,5402.000000000002,7.400000000000005,230.3820469259144,4208.259604316922
16,-46.599,-23.5735,1,729.9999999999995,5402.000000000002,7.400000000000005,230.3820469250876,4208.259604285287
17,-46.6891148879,-23.5747088158,1,1908.6666666666656,14124.133333333333,7.400000000000005,230.3831766017392,4208.298345988519
18,-46.6968739449,-23.6118867382,1,2285.958333333332,16916.091666666667,7.400000000000004,230.41795853922804,4209.491134451897
19,-46.69007632485,-23.577945028450003,1,4581.333333333332,100789.33333333333,22.000000000000004,230.38620132345443,4208.402076905328
20,-46.68985240995,-23.57833924335,1,4071.999999999998,30132.800000000003,7.400000000000005,230.3865698140188,4208.414714013135
21,-46.6794198425,-23.5833235205,1,2007.2083333333326,14853.341666666667,7.400000000000005,230.39122955912725,4208.574515742519
22,-46.7210492326,-23.6387237018,1,1499.416666666666,32987.166666666664,22.000000000000004,230.44311178035963,4210.353673621116
23,-46.6974334441,-23.6127331322,1,2291.1666666666656,16954.633333333335,7.400000000000005,230.41875124415117,4209.518318022519
24,-46.7160554055,-23.6333352808,1,2342.249999999999,51529.5,22.000000000000007,230.43805833789136,4210.180387457118
25,-46.7161203582,-23.6340000326,1,1620.9166666666658,35660.16666666667,22.00000000000001,230.4386816810444,4210.201762432584
26,-46.6373712833,-23.5931539261,1,1316.594274580335,9742.797631894486,7.400000000000005,230.40042377898277,4208.889819011431
27,-46.6765007208,-23.59868537,1,4504.291666666666,33331.758333333346,7.400000000000001,230.40559951363025,4209.067311361652
28,-46.672044,-23.513187,1,4607.249999999998,230362.49999999994,50.0,230.32578135811,4206.329899041155
29,-46.731663741,-23.529917508,1,1467.3930998275166,10858.70893872363,7.400000000000006,230.341369731824,4206.864544558517
30,-46.67236590945,-23.56107107215,2,0.0,0.0,0.0,286.77654677008127,6150.95841979732
31,-46.6775013295,-23.5930153175,1,0.0,0.0,0.0,230.4002941043612,4208.885372033704
32,-46.692031876,-23.5697017338,1,2501.2916666666656,18509.558333333334,7.400000000000005,230.37849783641704,4208.137889509559
33,-46.64600287505,-23.57047536185,2,3553.914266486553,26298.96557200051,7.400000000000006,298.56737734316533,6527.514736444255
34,-46.6518714652,-23.5674715424,1,2147.124999999999,47236.75,22.000000000000007,230.37641430959223,4208.066435288846
35,-46.6515394998,-23.5677774275,1,1702.5833333333326,37456.83333333333,22.000000000000007,230.3767000632729,4208.076235181769
36,-46.6960015722,-23.5752536254,1,590.3970231458788,4370.796014757767,7.404807330237233,230.38368576780888,4208.315807558084
37,-46.6728071218,-23.5843969162,1,0.0,0.0,0.0,230.39223323880236,4208.608935841994
38,-46.6853103648,-23.5310004013,1,0.0,0.0,0.0,230.3423792129645,4206.899166901946
39,-46.6806133758,-23.5485232991,1,729.9999999999995,5402.000000000002,7.400000000000005,230.35872285391977,4207.459698205073
40,-46.6843797937,-23.5647244522,1,2042.3749999999993,15113.575,7.400000000000005,230.37384824228027,4207.978432033283
41,-46.7036006436,-23.5710349201,1,2420.8749999999995,53259.25,22.000000000000007,230.37974347466644,4208.180608337476
42,-46.6575604034,-23.5231427072,1,2265.999999999999,49851.99999999999,22.000000000000007,230.33505562991328,4206.6479872380905
43,-46.6577964366,-23.5233714242,1,1277.9506582770964,9456.834871250521,7.400000000000006,230.335268753968,4206.655296882699
44,-46.680436273249995,-23.59143175245,2,4923.999999999998,108328.0,22.000000000000007,304.5465193669384,6765.644582038384
45,-46.6526472311,-23.5454321631,1,2062.9166666666656,15265.583333333336,7.400000000000004,230.35583855896203,4207.360777969196
46,-46.6547146631,-23.5520078549,1,929.4881842985385,6878.212563809189,7.400000000000006,230.36197485374973,4207.571228660546
